svid:2	x:-932203.1429423196	y:15560102.355200944	z:-20981749.54220278
svid:3	x:9988559.64924014	y:21776705.475936547	z:-11749201.828567192
svid:4	x:-1290598.3063158318	y:24860692.47129781	z:-9083253.534983478
svid:5	x:19883566.04819605	y:-6676056.635676739	z:16190470.164946089
svid:6	x:26053880.582971662	y:-5364651.063653985	z:-1002464.8494508032
svid:7	x:2419811.8949940708	y:17538226.225500274	z:20114568.28978791
svid:8	x:-8735867.7541075	y:16859939.520680863	z:18333007.924358096
svid:9	x:10049065.402746944	y:15117275.12533916	z:19291904.35202626
svid:11	x:21001444.706106886	y:-11895517.658451237	z:11054591.875003573
svid:12	x:7599629.353727996	y:-13357112.74800515	z:-21935939.15079594
svid:13	x:13369590.5521042	y:-9307919.264139626	z:20757372.647610564
svid:14	x:21309370.97721475	y:10029976.279645145	z:-12446074.000395237
svid:15	x:6538118.071809604	y:-18441094.782269873	z:17386343.82953073
svid:16	x:-22619347.788720243	y:1491867.425499592	z:13894377.53815512
svid:17	x:15082464.746059516	y:1456826.441350807	z:-21409477.31310531
svid:18	x:-4676597.478710742	y:-15272174.594558433	z:21191364.868159942
svid:19	x:17127388.65891008	y:-7827572.596261075	z:-18760446.983435646
svid:20	x:24883535.774766363	y:-3197753.272628526	z:8454901.99508553
svid:21	x:-16854599.2809635	y:19867810.094730295	z:-684463.7302990451
svid:22	x:18702969.414588988	y:3224478.0752840433	z:-18036769.126486756
svid:23	x:-14271190.297093395	y:-15283633.660510086	z:16470899.141976763
svid:24	x:13362151.412769813	y:-21981201.935562212	z:-6004855.293032569
svid:25	x:-5835350.798471421	y:-16578643.351162631	z:-20301861.2426833
svid:27	x:-14126034.011428064	y:5022453.377449006	z:21655800.877791237
svid:29	x:-2940272.193075555	y:-26273778.392153308	z:-2041272.2926308194
svid:30	x:25379516.983792294	y:191492.7314284807	z:8422462.338906286
svid:101	x:-34071664.279593736	y:24586961.54563823	z:-3499170.1069473866
svid:102	x:4488627.964488989	y:41930125.61559205	z:922276.1758648638
svid:103	x:-14591533.161462542	y:39536715.46032017	z:-1251493.312650683
svid:104	x:-39387811.54441856	y:14473438.737284357	z:-4079968.317800816
svid:105	x:21889730.330138624	y:35915738.67312107	z:2774681.7378709856
svid:106	x:-13798137.973902646	y:39297814.091701105	z:5461484.326345152
svid:107	x:-7805707.950422914	y:39749001.033486396	z:12180465.432439469
svid:108	x:-2607280.846020775	y:21682339.857459333	z:-36046254.04079567
svid:109	x:-7199263.310367955	y:38338023.12778985	z:15661339.591068646
svid:110	x:-1601715.4715678473	y:42118646.45609618	z:5556096.760364794
svid:111	x:-9643671.581158765	y:22160652.456082825	z:-13893101.309075259
svid:112	x:-21401134.946017098	y:17466047.808764763	z:3978897.178011278
svid:113	x:5188055.985794701	y:25739369.910525657	z:-32748854.026019715
svid:114	x:-22608062.350869738	y:-6622564.640603715	z:-14889318.017935492
svid:116	x:-16173335.518274717	y:38735120.821579434	z:1824499.5709817705
svid:120	x:23143057.348333865	y:13229246.389802244	z:8337067.674592498
svid:121	x:-15157175.486289037	y:3805913.4094300075	z:-23099644.166487344
svid:122	x:-15992383.524986139	y:-16208696.30647994	z:-16107406.718236124
svid:123	x:23942457.575025614	y:11863664.117669102	z:8047399.465409738
svid:124	x:-13207998.657814313	y:12488918.358797202	z:21163792.88249359
svid:125	x:8338526.157863773	y:16956516.129308693	z:20517849.081484705
svid:126	x:-6410406.798288595	y:-15007283.586032916	z:-22650241.032704275
svid:127	x:3732031.4472695272	y:24428140.989164185	z:-12977871.14391461
